"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.al.po.pool.JedisPoolVSJedisBenchmark.testJedis","thrpt",1,10,2796.330131,1265.504667,"ops/s"
"com.al.po.pool.JedisPoolVSJedisBenchmark.testPool","thrpt",1,10,15284.269178,596.953625,"ops/s"
